,balanced_accuracy,f1_macro,roc_auc_macro,per_class_f1
decision_tree,0.6767190982773044,0.672992776823924,0.845172728929999,"{'0': 0.728744939271255, '1': 0.46272493573264784, '2': 0.8275084554678692}"
random_forest,0.7049742892312182,0.6997982715539969,0.8823923689791188,"{'0': 0.7633587786259542, '1': 0.5027027027027027, '2': 0.8333333333333334}"
svm,0.6959155971716351,0.6917219184515098,0.8736950437619723,"{'0': 0.7572463768115942, '1': 0.4772727272727273, '2': 0.8406466512702079}"
gradient_boosting,0.6809856215563489,0.6808332945907477,0.8801915652345658,"{'0': 0.7490774907749077, '1': 0.45427728613569324, '2': 0.8391451068616423}"
xgboost,0.699606338716248,0.6951894463680824,0.8757181885107012,"{'0': 0.7461538461538462, '1': 0.5013623978201635, '2': 0.8380520951302378}"
lightgbm,0.6654702444630693,0.6664168354308307,0.8786512357350817,"{'0': 0.7419354838709677, '1': 0.41875, '2': 0.8385650224215246}"
catboost,0.7014493880573823,0.6975291944574779,0.881649608635,"{'0': 0.7611940298507462, '1': 0.49025069637883006, '2': 0.8411428571428572}"
