,balanced_accuracy,f1_macro,roc_auc_macro,per_class_f1
decision_tree,0.6720220246700995,0.6709751816245323,0.8448312081500905,"{'0': 0.758095238095238, '1': 0.44077134986225897, '2': 0.8140589569160998}"
random_forest,0.7229091988396986,0.7201850669190585,0.8866783257986272,"{'0': 0.777988614800759, '1': 0.5254237288135594, '2': 0.8571428571428571}"
svm,0.6926505960834016,0.6873687910312153,0.8742487751488728,"{'0': 0.762962962962963, '1': 0.47411444141689374, '2': 0.8250289687137891}"
gradient_boosting,0.6947508065553741,0.687002233877234,0.8653654890719163,"{'0': 0.7537878787878788, '1': 0.484375, '2': 0.8228438228438228}"
xgboost,0.7010207416368021,0.7031961073752119,0.8716773437334449,"{'0': 0.7657142857142857, '1': 0.4955223880597015, '2': 0.8483516483516483}"
lightgbm,0.6944895369923899,0.6922528710676263,0.8745218607922448,"{'0': 0.7628083491461101, '1': 0.479108635097493, '2': 0.834841628959276}"
catboost,0.7186327217982186,0.7158102197190922,0.8837414255057433,"{'0': 0.7732342007434945, '1': 0.5157593123209169, '2': 0.8584371460928653}"

