,balanced_accuracy,f1_macro,roc_auc_macro,per_class_f1
decision_tree,0.6920646935770977,  0.6856207863989904,0.8411143526822372,"{'0': 0.7349397590361446, '1': 0.49104859335038364, '2': 0.8308740068104427}"
random_forest,0.7037827437031764,  0.7083138541318528,0.8829641304511956,"{'0': 0.7948717948717948, '1': 0.48231511254019294, '2': 0.8477546549835706}"
svm,0.7019616394020421,  0.6924036825092234,0.8740628419755992,"{'0': 0.75, '1': 0.49604221635883905, '2': 0.8311688311688312}"
gradient_boosting,0.6928063156823064,  0.6924066836190494,0.8782488724949237,"{'0': 0.7622504537205081, '1': 0.46846846846846846, '2': 0.8465011286681715}"
xgboost,0.684414058079469,  0.6888526215110509,0.8811327681638573,"{'0': 0.7568555758683729, '1': 0.46254071661237783, '2': 0.8471615720524017}"
lightgbm,0.7090796150018298,  0.7045419726655687,0.8767572279700772,"{'0': 0.7595419847328244, '1': 0.5095890410958904, '2': 0.8444948921679909}"
catboost,0.6862608818338759,  0.6887261793871727,0.878046064538788,"{'0': 0.7636363636363637, '1': 0.45425867507886436, '2': 0.8482834994462901}"
